fraction,dice_2CH_mean,dice_2CH_std,dice_4CH_mean,dice_4CH_std,dice_mean_mean,dice_mean_std,hd95_2CH_mm_mean,hd95_2CH_mm_std,hd95_4CH_mm_mean,hd95_4CH_mm_std,ef_mae_biplane_mean,ef_mae_biplane_std
0.01,0.19165068882391445,0.3319487298921351,0.19934393978729736,0.34527383146372687,0.19549733417382087,0.33861131509068865,7.615307637562813,,7.336074199396563,,22.86956282415554,
0.05,0.8270613551139832,0.00862947983040601,0.8239555756251017,0.004355880663823091,0.8255084554354349,0.0062205703572790596,3.9064191470267837,0.1593941291789372,4.55969829363607,0.08838282847007281,19.7245854036557,1.445535189847166
0.1,0.8616926670074463,0.001805255821544292,0.863709290822347,0.0012456424125230447,0.8627009590466818,0.0004472498548819412,3.0890202449766897,0.07622331089689012,3.532362195545726,0.024144611849611985,12.648985292316,1.2102155045342327
1.0,0.9073493083318075,0.0002819977718942469,0.9145944317181905,0.0008185787182668694,0.9109718203544617,0.0002873040146718003,1.976739257552068,0.005556951379851738,2.038564782961197,0.02374332473407878,6.892237124097303,0.30206926052343297
