dice_2CH,dice_4CH,dice_mean,hd95_2CH_mm,hd95_4CH_mm,ef_mae_biplane,n_patients_ef,run,fraction,seed,n_train,best_val_dice
0.7811089158058167,0.7949814796447754,0.7880451083183289,6.3629418033737,6.855305050865958,35.194305548621536,50,supervised_frac001_seed42,0.01,42,16,0.78079104
0.7817981243133545,0.7628425359725952,0.7723203301429749,6.645660170312554,8.372528813393966,122.3840599439447,50,supervised_frac001_seed123,0.01,123,16,0.7905413
0.7643944025039673,0.7612775564193726,0.7628359198570251,6.15811332861856,8.050239566199819,24.411031084236082,48,supervised_frac001_seed7,0.01,7,16,0.80416185
0.8651986122131348,0.8613247871398926,0.8632616996765137,3.695792302337896,4.217082568020736,20.315056511430893,50,supervised_frac005_seed42,0.05,42,80,0.8870561
0.8715697526931763,0.8648884296417236,0.8682291507720947,3.683833825521702,3.7990994324673073,17.120849562699796,49,supervised_frac005_seed123,0.05,123,80,0.8795194
0.8567824363708496,0.8609660863876343,0.8588742613792419,4.070597786390246,4.040896121212383,30.919267956465774,50,supervised_frac005_seed7,0.05,7,80,0.88208526
0.8910629749298096,0.8896550536155701,0.8903590440750122,3.059040490862858,3.3918507730382834,17.049279310891894,50,supervised_frac010_seed42,0.1,42,160,0.89596593
0.8993717432022095,0.8843401074409485,0.8918559551239014,3.070341914253398,3.40001744907878,11.548728760866094,50,supervised_frac010_seed123,0.1,123,160,0.90620255
0.8913662433624268,0.8910797238349915,0.8912230134010315,3.1176469547383125,3.232889377420449,12.977112537276357,50,supervised_frac010_seed7,0.1,7,160,0.8949474
0.9260225892066956,0.9213192462921143,0.9236708283424377,2.113937332644216,2.2983107652553034,6.928388133638812,50,supervised_frac100_seed42,1.0,42,1600,0.9296968
0.9280183911323547,0.9277814626693726,0.9279000163078308,2.0202038087499092,2.2244023528453454,7.272974217077844,50,supervised_frac100_seed123,1.0,123,1600,0.9285299
0.9270627498626709,0.9251859188079834,0.9261243939399719,2.010203528474305,2.133174658593903,6.381205679108855,50,supervised_frac100_seed7,1.0,7,1600,0.9269535
