method,fraction,n_train,dice_2CH_mean,dice_2CH_std,dice_4CH_mean,dice_4CH_std,dice_mean_mean,dice_mean_std,hd95_2CH_mm_mean,hd95_2CH_mm_std,hd95_4CH_mm_mean,hd95_4CH_mm_std,ef_mae_biplane_mean,ef_mae_biplane_std
MAE + ViT-Tiny,0.01,16,0.19165068882391445,0.3319487298921351,0.19934393978729736,0.34527383146372687,0.19549733417382087,0.33861131509068865,7.615307637562813,,7.336074199396563,,22.86956282415554,
MAE + ViT-Tiny,0.05,80,0.8270613551139832,0.00862947983040601,0.8239555756251017,0.004355880663823091,0.8255084554354349,0.0062205703572790596,3.9064191470267837,0.1593941291789372,4.55969829363607,0.08838282847007281,19.7245854036557,1.445535189847166
MAE + ViT-Tiny,0.1,160,0.8616926670074463,0.001805255821544292,0.863709290822347,0.0012456424125230447,0.8627009590466818,0.0004472498548819412,3.0890202449766897,0.07622331089689012,3.532362195545726,0.024144611849611985,12.648985292316,1.2102155045342327
MAE + ViT-Tiny,1.0,1600,0.9073493083318075,0.0002819977718942469,0.9145944317181905,0.0008185787182668694,0.9109718203544617,0.0002873040146718003,1.976739257552068,0.005556951379851738,2.038564782961197,0.02374332473407878,6.892237124097303,0.30206926052343297
Supervised UNet,0.01,16,0.7757671475410461,0.009855112853261344,0.773033857345581,0.01902329844405461,0.7744004527727762,0.012732673652286901,6.388905100768272,0.24480819087633943,7.759357810153247,0.7993441895675881,60.66313219226743,53.72312764479923
Supervised UNet,0.05,80,0.8645169337590536,0.00741718916707711,0.8623931010564169,0.0021684476288129735,0.8634550372759501,0.004680440519720795,3.816741304749948,0.21992745677844314,4.01902604056681,0.20984804197883736,22.78505801019882,7.223210373185297
Supervised UNet,0.1,160,0.8939336538314819,0.0047119640213578035,0.8883582949638367,0.0035520127442546226,0.8911460041999817,0.0007514209771202546,3.0823431199515228,0.031091817342393673,3.341585866512504,0.09422244268268613,13.85837353634478,2.854203881944419
Supervised UNet,1.0,1600,0.9270345767339071,0.0009981991912962995,0.9247622092564901,0.003251877529158497,0.9258984128634135,0.002123630922942718,2.048114889956143,0.05722278280952555,2.218629258898184,0.08271928367142349,6.860856009941838,0.4497034824482737
