dice_2CH,dice_4CH,dice_mean,hd95_2CH_mm,hd95_4CH_mm,ef_mae_biplane,n_patients_ef,run,fraction,seed,n_train,best_val_dice
2.635359153124739e-10,2.4758120553691754e-10,2.555585743024835e-10,,,,0,mae_frac001_seed42,0.01,42,16,2.7200903e-10
0.5749520659446716,0.5980318188667297,0.5864920020103455,7.615307637562813,7.336074199396563,22.86956282415554,49,mae_frac001_seed123,0.01,123,16,0.6149599
2.635359153124739e-10,2.4758120553691754e-10,2.555585743024835e-10,,,,0,mae_frac001_seed7,0.01,7,16,2.7200903e-10
0.8300111293792725,0.8279479146003723,0.8289794921875,3.9693423894791824,4.653189376526968,20.196966333976427,50,mae_frac005_seed42,0.05,42,80,0.8416776
0.8173437714576721,0.8193099498748779,0.8183268904685974,4.024747337156929,4.477511428382307,20.8748343268526,50,mae_frac005_seed123,0.05,123,80,0.8357674
0.8338291645050049,0.8246088624000549,0.8292189836502075,3.7251677144442397,4.548394075998936,18.101955550138065,50,mae_frac005_seed7,0.05,7,80,0.84452033
0.8599256277084351,0.8644512295722961,0.8621883988380432,3.1402239183066634,3.5598801499577233,13.44604781440745,50,mae_frac010_seed42,0.1,42,160,0.8656401
0.8635338544845581,0.8622711896896362,0.8629025220870972,3.0014213841716524,3.522480578279534,11.256401683894667,50,mae_frac010_seed123,0.1,123,160,0.86917377
0.8616185188293457,0.8644054532051086,0.8630119562149048,3.125415432451752,3.5147258583999195,13.24450637864589,50,mae_frac010_seed7,0.1,7,160,0.8700268
0.9072679281234741,0.9151911735534668,0.9112295508384705,1.9831193711771544,2.016237135642797,7.05723993363143,50,mae_frac100_seed42,1.0,42,1600,0.9109333
0.9071169495582581,0.9149308800697327,0.9110238552093506,1.9741410801497734,2.0635073073337,7.075868003706932,50,mae_frac100_seed123,1.0,123,1600,0.91160804
0.9076630473136902,0.9136612415313721,0.910662055015564,1.9729573213292764,2.035949905907094,6.543603434953546,50,mae_frac100_seed7,1.0,7,1600,0.91101104
